2021-11-06 20:24:25.658 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[whs_market_spreads_hist]
2021-11-06 20:24:25.677 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[eqcompli]
2021-11-06 20:24:25.695 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [stored_procedure] node [dbo].[Composite_GetCompositeList]
2021-11-06 20:24:25.712 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [scalar_function] node [dbo].[RULE_holding_period]
2021-11-06 20:24:25.730 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[out_Val_IndexMDY]
2021-11-06 20:24:25.751 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[whs_resfx_mellon]
2021-11-06 20:24:25.773 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [scalar_function] node [dbo].[RULE_client_source_system_id_fixinc_compl]
2021-11-06 20:24:25.792 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [stored_procedure] node [dbo].[trn_Val_IncomeReceivable]
2021-11-06 20:24:25.808 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[aud_cbk_DataReadinessEvent]
2021-11-06 20:24:25.826 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [scalar_function] node [dbo].[RULE_client_account_id]
2021-11-06 20:24:25.847 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[aud_ext_Val_IncomeReceivable]
2021-11-06 20:24:25.864 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [stored_procedure] node [dbo].[MIPL_Load_COAC_Event]
2021-11-06 20:24:25.881 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [scalar_function] node [dbo].[RULE_user_id_15_futures]
2021-11-06 20:24:25.899 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [view] node [dbo].[vLVtrade_upload]
2021-11-06 20:24:25.915 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [stored_procedure] node [dbo].[load_CURNewSecurityFO]
2021-11-06 20:24:25.932 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [scalar_function] node [dbo].[RULE_Sec_Cnt_level2_hierarch]
2021-11-06 20:24:25.948 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [table] node [dbo].[whs_market_spreads_prev]
2021-11-06 20:24:25.965 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [view] node [dbo].[veqcompli]
2021-11-06 20:24:25.986 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [stored_procedure] node [dbo].[Composite_GetInfoTable]
2021-11-06 20:24:26.004 | DEBUG    | sql_functions:create_object_nodes:22 - Creating [scalar_function] node [dbo].[RULE_holding_period_fixinc_compl]
